title,artist,estimated_year
Fast Life,Manuellsen,2014
Weck mich auf,Samy Deluxe,2009
Hamburg Bleibt Dreckig,Samy Deluxe,2009
Picasso,Samy Deluxe,2009
Adriano,D-Bo,2003
Mein Block,D-Bo,2003
Affe Tanzt,Frauenarzt,2008
Disco Pogo,Die Atzen,2010
Anna,Olexesh,2017
Mhm,Olexesh,2016
Bling Bling,Veysel,2014
Endstation,Veysel,2017
Bad Chick,Veysel,2016
Erstes Semester,Shindy,2014
Stress,Shindy,2014
Maximum,Shindy,2017
Asphalt,Celo & Abdi,2013
Hoch im Norden,Celo & Abdi,2015
Wie im Tarif,Celo & Abdi,2014
Crashkurs,Nimo,2018
Million,Nimo,2018
Größenwahn,Nimo,2017
Karma,Nura,2019
Schlecht für mich,Nura,2019
Roses,Shirin David,2021
Bonbon,Shirin David,2020
Gucci Girl,Shirin David,2018
Bist du Single,Mike Singer,2017
Vermissen,Ramz,2021
Sweet Dreams,Ramz,2021
Liebe deinen Hass,Materia & Yung Hurn,2014
Easy,Yung Hurn,2015
Stoner,Yung Hurn,2016
60 Park,Yung Hurn,2016
175,Money Boy,2011
Dreh den Swag auf,Money Boy,2010
Cash,Money Boy,2012
Krieger des Lichts,Sun Diego,2014
Easy,Cro,2012
Du,Cro,2012
Whatever,Cro,2011
Erstes Wiedersehen,Curse,2002
4 Vor 12,Curse,1999
Fresh Wax,Stieber Twins,1998
Hast du Hunger,Massive Töne,1999
Die Stadt sind wir,Massive Töne,1999
Krise,RAG'N'BONE,2017
Liebes Lied,Genetikk,2014
Erkan & Stefan,Genetikk,2013
Berlin City Girl,Genetikk,2013
Westberlin,Joka,2018
Der Beweis,Joka,2018
Berlin lebt 2,Suena,2018
Affe,Mosh36,2014
Ya Salam,Azzi Memo,2018
Ferrari,Azzi Memo,2019
Lambo,Bonez MC & RAF Camora,2017
Palmen aus Plastik,Bonez MC & RAF Camora,2016
Adidas,Bonez MC & RAF Camora,2017
Hurra wir leben noch,Apache 207 & Udo Lindenberg,2021
Frauen verstehen,Sido & Bonez,2018
Funkt nicht,Eunique,2019
