"status","title","artist","estimated_year","mb_year","discogs_year","chosen_candidate","notes"
"review_needed","Volare","Domenico Modugno","2020","2010","1972","","review_reason: mb_uncertain; risk_flags: mb_uncertain+mb_text_match_only+discogs_earlier_than_mb+mb_year_suspicious_late; recommendation: run_targeted_discogs_lookup; discogs_lookup: mb_uncertain+mb_text_match_only+mb_year_suspicious_late"
"review_needed","Dance The Night","Dua Lipa","2023","2023","","","review_reason: mb_year_suspicious_late; risk_flags: catalog_context+compilation_context+mb_year_suspicious_late; recommendation: run_targeted_discogs_lookup; discogs_lookup: mb_year_suspicious_late"
"review_needed","Shape of You","Ed Sheeran","2017","2017","","","review_reason: mb_year_suspicious_late; risk_flags: catalog_context+remaster_or_deluxe_context+mb_year_suspicious_late; recommendation: run_targeted_discogs_lookup; discogs_lookup: mb_year_suspicious_late"
"review_needed","Aloha-Ahe","Freddy Quinn","2013","","","","review_reason: mb_no_match; risk_flags: mb_no_match+catalog_context+compilation_context; recommendation: run_targeted_discogs_lookup; discogs_lookup: mb_no_match"
"review_needed","Get Down","Gilbert O'Sullivan","1973","1973","","","review_reason: mb_year_suspicious_late; risk_flags: catalog_context+remaster_or_deluxe_context+mb_year_suspicious_late; recommendation: run_targeted_discogs_lookup; discogs_lookup: mb_year_suspicious_late"
"review_needed","Balada","Gusttavo Lima","2012","2011","2012","","review_reason: mb_uncertain; risk_flags: mb_uncertain+mb_text_match_only+catalog_context+compilation_context+mb_year_suspicious_late; recommendation: run_targeted_discogs_lookup; discogs_lookup: mb_uncertain+mb_text_match_only+mb_year_suspicious_late"
"review_needed","Hollaback Girl","Gwen Stefani","2004","2004","","","review_reason: mb_year_suspicious_late; risk_flags: catalog_context+remaster_or_deluxe_context+mb_year_suspicious_late; recommendation: run_targeted_discogs_lookup; discogs_lookup: mb_year_suspicious_late"
"review_needed","MMMBop","Hanson","1997","1997","","","review_reason: mb_year_suspicious_late; risk_flags: catalog_context+compilation_context+mb_year_suspicious_late; recommendation: run_targeted_discogs_lookup; discogs_lookup: mb_year_suspicious_late"
"review_needed","Country Roads (Dance Radio Version)","Hermes House Band","2015","2001","2001","","review_reason: mb_uncertain; risk_flags: mb_uncertain+mb_text_match_only; recommendation: run_targeted_discogs_lookup; discogs_lookup: mb_uncertain+mb_text_match_only"
"review_needed","Ratzfatz nach Mallorca","Ibo","2017","2001","","","review_reason: mb_uncertain; risk_flags: mb_uncertain+mb_text_match_only; recommendation: run_targeted_discogs_lookup; discogs_lookup: mb_uncertain+mb_text_match_only"
"review_needed","What A Feeling","Irene Cara","2007","1983","","","review_reason: mb_text_match_only; risk_flags: mb_text_match_only; recommendation: run_targeted_discogs_lookup; discogs_lookup: mb_text_match_only"
"review_needed","You're The One That I Want - From “Grease”","John Travolta, Olivia Newton-John","1978","1978","","","review_reason: mb_year_suspicious_late; risk_flags: catalog_context+compilation_context+mb_year_suspicious_late; recommendation: run_targeted_discogs_lookup; discogs_lookup: mb_year_suspicious_late"
"review_needed","Dicht im Flieger","Julian Sommer","2022","2022","","","review_reason: mb_text_match_only; risk_flags: mb_text_match_only; recommendation: run_targeted_discogs_lookup; discogs_lookup: mb_text_match_only"
"review_needed","CAN'T STOP THE FEELING! (from DreamWorks Animation's ""TROLLS"")","Justin Timberlake","2016","2016","","","review_reason: mb_year_suspicious_late; risk_flags: catalog_context+compilation_context+mb_year_suspicious_late; recommendation: run_targeted_discogs_lookup; discogs_lookup: mb_year_suspicious_late"
"review_needed","Lambada - Original Version 1989","Kaoma","1989","2017","","","review_reason: mb_uncertain; risk_flags: mb_uncertain+mb_text_match_only; recommendation: run_targeted_discogs_lookup; discogs_lookup: mb_uncertain+mb_text_match_only"
"review_needed","Fresh","Kool & The Gang","1984","1984","","","review_reason: mb_year_suspicious_late; risk_flags: catalog_context+remaster_or_deluxe_context+mb_year_suspicious_late; recommendation: run_targeted_discogs_lookup; discogs_lookup: mb_year_suspicious_late"
"review_needed","The Edge Of Glory","Lady Gaga","2011","2011","","","review_reason: mb_year_suspicious_late; risk_flags: catalog_context+remaster_or_deluxe_context+mb_year_suspicious_late; recommendation: run_targeted_discogs_lookup; discogs_lookup: mb_year_suspicious_late"
"review_needed","This Love","Maroon 5","2002","2002","","","review_reason: mb_year_suspicious_late; risk_flags: catalog_context+remaster_or_deluxe_context+mb_year_suspicious_late; recommendation: run_targeted_discogs_lookup; discogs_lookup: mb_year_suspicious_late"
"review_needed","Lonely - Re-Recorded 2021","Nana Darkman, Alexandra Prince","1997","2021","","","review_reason: mb_text_match_only; risk_flags: mb_text_match_only; recommendation: run_targeted_discogs_lookup; discogs_lookup: mb_text_match_only"
"review_needed","Guten Morgen Sonnenschein","Nana Mouskouri","1977","1977","","","review_reason: mb_year_suspicious_late; risk_flags: catalog_context+compilation_context+mb_year_suspicious_late; recommendation: run_targeted_discogs_lookup; discogs_lookup: mb_year_suspicious_late"
"review_needed","Summer Wine","Nancy Sinatra, Lee Hazlewood","1968","1986","1967","","review_reason: discogs_earlier_than_mb; risk_flags: discogs_earlier_than_mb+mb_year_suspicious_late; recommendation: manual_review_compare_musicbrainz_discogs; discogs_lookup: mb_year_suspicious_late"
"review_needed","La La La","Naughty Boy, Sam Smith","2013","2013","","","review_reason: mb_year_suspicious_late; risk_flags: catalog_context+remaster_or_deluxe_context+mb_year_suspicious_late; recommendation: run_targeted_discogs_lookup; discogs_lookup: mb_year_suspicious_late"
"review_needed","Spirit In The Sky - Deluxe Edition","Norman Greenbaum","1969","1969","","","review_reason: mb_year_suspicious_late; risk_flags: catalog_context+remaster_or_deluxe_context+mb_year_suspicious_late; recommendation: run_targeted_discogs_lookup; discogs_lookup: mb_year_suspicious_late"
"review_needed","Flying Through the Air","Oliver Onions","1994","1973","1973","","review_reason: mb_uncertain; risk_flags: mb_uncertain+mb_text_match_only+catalog_context+compilation_context; recommendation: run_targeted_discogs_lookup; discogs_lookup: mb_uncertain+mb_text_match_only"
"review_needed","Santamaria","Oliver Onions","2008","1980","","","review_reason: mb_uncertain; risk_flags: mb_uncertain+mb_text_match_only; recommendation: run_targeted_discogs_lookup; discogs_lookup: mb_uncertain+mb_text_match_only"
"review_needed","Live Is Life (Digitally Remastered) - Single Version","Opus","2011","1984","","","review_reason: mb_uncertain; risk_flags: mb_uncertain+mb_text_match_only; recommendation: run_targeted_discogs_lookup; discogs_lookup: mb_uncertain+mb_text_match_only"
"review_needed","Cover Me In Sunshine","P!nk, Willow Sage Hart","2021","2021","","","review_reason: mb_uncertain; risk_flags: mb_uncertain+mb_text_match_only; recommendation: run_targeted_discogs_lookup; discogs_lookup: mb_uncertain+mb_text_match_only"
"review_needed","Zwei Mädchen aus Germany","Paul Anka","2016","2001","1964","","review_reason: mb_uncertain; risk_flags: mb_uncertain+mb_text_match_only+catalog_context+compilation_context+discogs_earlier_than_mb+mb_year_suspicious_late; recommendation: run_targeted_discogs_lookup; discogs_lookup: mb_uncertain+mb_text_match_only+mb_year_suspicious_late"
"review_needed","It's a Real Good Feeling","Peter Kent, Luisa Fernandez","2000","2010","","","review_reason: mb_uncertain; risk_flags: mb_uncertain+mb_text_match_only; recommendation: run_targeted_discogs_lookup; discogs_lookup: mb_uncertain+mb_text_match_only"
"review_needed","I Want To Break Free","Queen","2018","2018","","","review_reason: mb_year_suspicious_late; risk_flags: catalog_context+compilation_context+mb_year_suspicious_late; recommendation: run_targeted_discogs_lookup; discogs_lookup: mb_year_suspicious_late"
"review_needed","Sailing","Rod Stewart","1975","2008","1975","","review_reason: discogs_earlier_than_mb; risk_flags: discogs_earlier_than_mb+mb_year_suspicious_late; recommendation: manual_review_compare_musicbrainz_discogs; discogs_lookup: mb_year_suspicious_late"
"review_needed","Boys - Summertime Love","Sabrina","1988","2026","1987","","review_reason: mb_uncertain; risk_flags: mb_uncertain+mb_text_match_only+discogs_earlier_than_mb+mb_year_suspicious_late; recommendation: run_targeted_discogs_lookup; discogs_lookup: mb_uncertain+mb_text_match_only+mb_year_suspicious_late"
"review_needed","Played-A-Live (The Bongo Song) - Radio Edit","Safri Duo","2005","2005","2002","","review_reason: mb_uncertain; risk_flags: mb_uncertain+mb_text_match_only+catalog_context+compilation_context+discogs_earlier_than_mb+mb_year_suspicious_late; recommendation: run_targeted_discogs_lookup; discogs_lookup: mb_uncertain+mb_text_match_only+mb_year_suspicious_late"
"review_needed","Smooth (feat. Rob Thomas)","Santana, Rob Thomas","1999","1999","","","review_reason: mb_year_suspicious_late; risk_flags: catalog_context+remaster_or_deluxe_context+mb_year_suspicious_late; recommendation: run_targeted_discogs_lookup; discogs_lookup: mb_year_suspicious_late"
"review_needed","Chocolate (Choco Choco) - Single Version","Soul Control","2020","2004","2004","","review_reason: mb_uncertain; risk_flags: mb_uncertain+mb_text_match_only; recommendation: run_targeted_discogs_lookup; discogs_lookup: mb_uncertain+mb_text_match_only"
"review_needed","Get It On","T. Rex","1971","1971","","","review_reason: mb_year_suspicious_late; risk_flags: catalog_context+compilation_context+mb_year_suspicious_late; recommendation: run_targeted_discogs_lookup; discogs_lookup: mb_year_suspicious_late"
"review_needed","Tacata","Tacabro","2013","2012","2012","","review_reason: mb_uncertain; risk_flags: mb_uncertain+mb_text_match_only+catalog_context+compilation_context+mb_year_suspicious_late; recommendation: run_targeted_discogs_lookup; discogs_lookup: mb_uncertain+mb_text_match_only+mb_year_suspicious_late"
"review_needed","Seasons in the Sun","Terry Jacks","1974","1973","","","review_reason: mb_year_suspicious_late; risk_flags: catalog_context+remaster_or_deluxe_context+mb_year_suspicious_late; recommendation: run_targeted_discogs_lookup; discogs_lookup: mb_year_suspicious_late"
"review_needed","Here Comes The Sun - Remastered 2009","The Beatles","1969","1969","","","review_reason: mb_year_suspicious_late; risk_flags: catalog_context+remaster_or_deluxe_context+mb_year_suspicious_late; recommendation: run_targeted_discogs_lookup; discogs_lookup: mb_year_suspicious_late"
"review_needed","Let It Be - Remastered 2009","The Beatles","1970","1970","","","review_reason: mb_year_suspicious_late; risk_flags: catalog_context+remaster_or_deluxe_context+mb_year_suspicious_late; recommendation: run_targeted_discogs_lookup; discogs_lookup: mb_year_suspicious_late"
"review_needed","You Really Got Me","The Kinks","1964","1964","","","review_reason: mb_year_suspicious_late; risk_flags: catalog_context+remaster_or_deluxe_context+mb_year_suspicious_late; recommendation: run_targeted_discogs_lookup; discogs_lookup: mb_year_suspicious_late"
"review_needed","I'll Be There for You (Theme from ""Friends')","The Rembrandts","1995","1995","","","review_reason: mb_text_match_only; risk_flags: mb_text_match_only; recommendation: run_targeted_discogs_lookup; discogs_lookup: mb_text_match_only"
"review_needed","Stop! In The Name Of Love","The Supremes","1965","1965","","","review_reason: mb_year_suspicious_late; risk_flags: catalog_context+compilation_context+mb_year_suspicious_late; recommendation: run_targeted_discogs_lookup; discogs_lookup: mb_year_suspicious_late"
"review_needed","New York-Rio-Tokyo","Trio Rio","1986","1986","","","review_reason: mb_text_match_only; risk_flags: mb_text_match_only; recommendation: run_targeted_discogs_lookup; discogs_lookup: mb_text_match_only"
