title,artist,existing_year,existing_year_source,existing_status,existing_notes,csv_year,estimated_year,spotify_album_name,spotify_album_type,spotify_album_release_date,spotify_duration_ms,spotify_album_artist,spotify_track_number,spotify_disc_number,mb_year,mb_year_source,mb_match_method,mb_score,deezer_year,deezer_invalid_year,deezer_status,deezer_track_id,discogs_year,discogs_rejected_year,discogs_rejected_reason,chosen_candidate,status,notes,diff,spotify_track_id,spotify_match_name,spotify_match_artist,match_method,similarity_score,isrc,spotify_found,manual_source_url,exclusion_reason,final_year,listenbrainz_match_status,listenbrainz_year_signal,listenbrainz_context_flags,listenbrainz_version_flags,listenbrainz_recommendation,listenbrainz_mb_year,listenbrainz_mb_year_source,listenbrainz_year_delta_vs_current_mb,listenbrainz_year_delta_vs_spotify,listenbrainz_recording_mbid,listenbrainz_recording_name,listenbrainz_release_mbid,listenbrainz_release_name,final_source,review_reason
Itsy Bitsy Teenie Weenie Honolulu Strand Bikini,"Caterina Valente, Silvio Francesco",,,,,2011,2011,Itsy Bitsy Teenie Weenie Honolulu Strand Bikini,album,2011-08-12,130466,Caterina Valente,1,1,2023,mb_match_uncertain,text,0.96,,,skipped_off,,1965,,,1960,manual_entered_year,review_reason: mb_uncertain; risk_flags: mb_uncertain+mb_text_match_only+discogs_earlier_than_mb+mb_year_suspicious_late; recommendation: run_targeted_discogs_lookup; discogs_lookup: mb_uncertain+mb_text_match_only+mb_year_suspicious_late; manual: entered 1960,,30ge50akdCCPPKcELnQtx0,Itsy Bitsy Teenie Weenie Honolulu Strand Bikini,"Caterina Valente, Silvio Francesco",playlist_import,,NLG620471502,true,,,1960,ok,alternative_earlier_than_current_mb,various_artists_context+compilation_context+noisy_release_context,,useful_alternative_mb_year,2013,recording_first_release_date,-10,2,4be9741e-6bbf-4b1d-ae51-0c16eff4cfd0,Itsy Bitsy Teenie Weenie Honolulu Strand Bikini,4369d9f4-549e-4c3f-b75b-100b3eb37697,Die große Schlagerparade der frühen 60er Jahre,manual,manual_entered_year
Le Freak - 2018 Remaster,CHIC,,,,,1978,1978,C'est Chic (2018 Remaster),album,1978-08-11,331360,CHIC,2,1,1978,mb_ok,isrc,0.96,,,skipped_off,,,,,1978,manual_confirmed_mb,review_reason: mb_year_suspicious_late; risk_flags: catalog_context+remaster_or_deluxe_context+mb_year_suspicious_late; recommendation: run_targeted_discogs_lookup; discogs_lookup: mb_year_suspicious_late; manual: confirmed MusicBrainz year 1978,,7Kszjzps0xbQXyo1pO4KfE,Le Freak - 2018 Remaster,CHIC,playlist_import,,USRH11803129,true,,,1978,ok,confirms_current_mb_and_spotify,,remastered,manual_version_risk,1978,recording_first_release_date,0,0,57acbd93-8745-430e-9c35-4b4c20b3c5d8,Le Freak,228d2f3b-690b-3001-9a40-c7830a517f5c,C’est Chic,musicbrainz,manual_confirmed_mb
Genie In a Bottle,Christina Aguilera,,,,,1999,1999,Christina Aguilera (Expanded Edition),album,1999,217573,Christina Aguilera,1,1,1999,mb_ok,isrc,1.00,,,skipped_off,,,,,1999,manual_confirmed_mb,review_reason: mb_year_suspicious_late; risk_flags: catalog_context+remaster_or_deluxe_context+mb_year_suspicious_late; recommendation: run_targeted_discogs_lookup; discogs_lookup: mb_year_suspicious_late; Manual batch accept: MB year accepted despite LB->MB context warning.,,11mwFrKvLXCbcVGNxffGyP,Genie In a Bottle,Christina Aguilera,playlist_import,,USRC19900032,true,,,1999,ok,confirms_current_mb_and_spotify,deluxe_context+noisy_release_context,,likely_accept_existing_mb_with_context_warning,1999,recording_first_release_date,0,0,fbe9ad8c-3a31-4b5a-9710-228b8c77907b,Genie in a Bottle,d4faf895-c0c0-45ab-a912-42e99672425f,Christina Aguilera,musicbrainz,manual_batch_lb_context_warning_confirmed
The Twist,Chubby Checker,,,,,1962,1962,Chubby Checker Classics,compilation,1962-01-01,158866,Chubby Checker,3,1,2005,mb_match_uncertain,text,0.96,,,skipped_off,,1984,,,1960,manual_entered_year,review_reason: mb_uncertain; risk_flags: mb_uncertain+mb_text_match_only+catalog_context+compilation_context+discogs_earlier_than_mb+mb_year_suspicious_late; recommendation: run_targeted_discogs_lookup; discogs_lookup: mb_uncertain+mb_text_match_only+mb_year_suspicious_late; manual: entered 1960,,6DSvUZQdqtNfkJI4cAiUsM,The Twist,Chubby Checker,playlist_import,,USI4R0502237,true,,,1960,ok,alternative_earlier_than_current_mb,,,useful_alternative_mb_year,1986,recording_first_release_date,-19,24,6f97ce0a-fbb9-430c-8d02-d61228b47a61,The Twist,210b6d0d-e27b-4420-80c8-27a9872ba924,The Twist,manual,manual_entered_year
Congratulations - 1998 Remaster,Cliff Richard,,,,,2008,2008,The Fiftieth Anniversary Album,compilation,2008-11-03,155146,Cliff Richard,25,1,2008,mb_ok,isrc,0.88,,,skipped_off,,,,,1968,manual_entered_year,review_reason: mb_year_suspicious_late; risk_flags: catalog_context+remaster_or_deluxe_context+compilation_context+mb_year_suspicious_late; recommendation: run_targeted_discogs_lookup; discogs_lookup: mb_year_suspicious_late; manual: entered 1968,,1SOAN58QwnQABl2SND1wMh,Congratulations - 1998 Remaster,Cliff Richard,playlist_import,,GBAYE9801630,true,,,1968,ok,alternative_earlier_than_current_mb,deluxe_context+noisy_release_context,remastered,manual_version_risk,1968,recording_first_release_date,-40,-40,08723b14-976c-48d8-b27b-5560c3102b59,Congratulations,c45c0e45-a7ba-448b-b06d-2ed220722418,Best Now,manual,manual_entered_year
Pack Die Badehose Ein,Cornelia Froboess,,,,,2011,2011,Cornelia Froboess: 50's Gold,album,2011-08-11,195493,Cornelia Froboess,8,1,,mb_no_match,,,,,skipped_off,,,,,1951,manual_entered_year,review_reason: mb_no_match; risk_flags: mb_no_match; recommendation: run_targeted_discogs_lookup; discogs_lookup: mb_no_match; manual: entered 1951,,6PidK6dCwt3KoB3T9yAxaX,Pack Die Badehose Ein,Cornelia Froboess,playlist_import,,NLG620471403,true,,,1951,no_match,no_year,,,unusable,,,,,,,,,manual,manual_entered_year
Have You Ever Seen The Rain,Creedence Clearwater Revival,,,,,1970,1970,Pendulum (Expanded Edition),album,1970-12-07,160133,Creedence Clearwater Revival,4,1,1970,mb_ok,isrc,1.00,,,skipped_off,,,,,1970,manual_confirmed_mb,review_reason: mb_year_suspicious_late; risk_flags: catalog_context+remaster_or_deluxe_context+mb_year_suspicious_late; recommendation: run_targeted_discogs_lookup; discogs_lookup: mb_year_suspicious_late; Manual batch accept: MB year accepted despite LB->MB context warning.,,2LawezPeJhN4AWuSB0GtAU,Have You Ever Seen The Rain,Creedence Clearwater Revival,playlist_import,,USC4R0817643,true,,,1970,ok,confirms_current_mb_and_spotify,deluxe_context+noisy_release_context,,likely_accept_existing_mb_with_context_warning,1970,recording_first_release_date,0,0,b5634bbd-cf5c-4206-8063-f7f5079eaa29,Have You Ever Seen the Rain?,933f90d8-a468-4f77-83e7-7b0826696106,Pendulum,musicbrainz,manual_batch_lb_context_warning_confirmed
Don't Dream It's Over,Crowded House,,,,,1986,1986,Crowded House (Deluxe),album,1986-08-01,238173,Crowded House,4,1,1986,mb_ok,isrc,0.96,,,skipped_off,,,,,1986,manual_confirmed_mb,review_reason: mb_year_suspicious_late; risk_flags: catalog_context+remaster_or_deluxe_context+mb_year_suspicious_late; recommendation: run_targeted_discogs_lookup; discogs_lookup: mb_year_suspicious_late; Manual batch accept: MB year accepted despite LB->MB context warning.,,56GbZVwxMdf1DENCluYS8A,Don't Dream It's Over,Crowded House,playlist_import,,USCA28600048,true,,,1986,ok,confirms_current_mb_and_spotify,deluxe_context+noisy_release_context,,likely_accept_existing_mb_with_context_warning,1986,recording_first_release_date,0,0,acd06f90-79fe-49f6-881a-5250d896bed9,Don’t Dream It’s Over,c5d1f90f-aebd-411d-97b0-675bd9f6bbfa,Crowded House,musicbrainz,manual_batch_lb_context_warning_confirmed
Die Eine,Die Firma,,,,,2013,2013,Spiel des Lebens / Spiel des Todes (Deluxe Edition),album,2013-08-23,239971,Die Firma,10,1,1998,mb_ok,text,1.00,,,skipped_off,,,,,1998,manual_confirmed_mb,review_reason: mb_text_match_only; risk_flags: mb_text_match_only+catalog_context+remaster_or_deluxe_context; recommendation: run_targeted_discogs_lookup; discogs_lookup: mb_text_match_only; Manual batch accept: MB year accepted despite LB->MB context warning.,,4XSilY4y6omLVcCJ35RAzX,Die Eine,Die Firma,playlist_import,,DEAS39800010,true,,,1998,ok,confirms_current_mb,deluxe_context+noisy_release_context,,likely_accept_existing_mb_with_context_warning,1998,recording_first_release_date,0,-15,f8694c99-2c05-45ab-b558-a54b7851e039,Die Eine,01065b75-f196-4fa0-99dc-69264f4cd53a,Spiel des Lebens / Spiel des Todes,musicbrainz,manual_batch_lb_context_warning_confirmed
Walk Of Life,Dire Straits,,,,,1985,1985,Brothers In Arms - 20th Anniversary Edition,album,1985-05-13,248893,Dire Straits,3,1,1985,mb_ok,isrc,1.00,,,skipped_off,,,,,1985,manual_confirmed_mb,review_reason: mb_year_suspicious_late; risk_flags: catalog_context+remaster_or_deluxe_context+mb_year_suspicious_late; recommendation: run_targeted_discogs_lookup; discogs_lookup: mb_year_suspicious_late; Manual batch accept: MB year accepted despite LB->MB context warning.,,6HMFtoMvv6n6Q2eOyPFyne,Walk Of Life,Dire Straits,playlist_import,,GBF088500675,true,,,1985,ok,confirms_current_mb_and_spotify,deluxe_context+noisy_release_context,,likely_accept_existing_mb_with_context_warning,1985,recording_first_release_date,0,0,14aa051a-051f-4faf-8a08-ed46dc32c65b,Walk of Life,4c618c14-0ed3-3b50-b32a-562e0f4cfe28,Brothers in Arms,musicbrainz,manual_batch_lb_context_warning_confirmed
Gimme Hope Jo'Anna,Eddy Grant,,,,,2010,2010,Gimme Hope Jo'Anna,album,2010-03-22,243695,Eddy Grant,1,1,2025,mb_ok,isrc,0.96,,,skipped_off,,1988,,,1988,manual_confirmed_mb,review_reason: discogs_earlier_than_mb; risk_flags: discogs_earlier_than_mb+mb_year_suspicious_late; recommendation: manual_review_compare_musicbrainz_discogs; discogs_lookup: mb_year_suspicious_late; Manual batch accept: LB->MB alternative year accepted.,,09lZ2Mx2NSpzy6KBpX2kDq,Gimme Hope Jo'Anna,Eddy Grant,playlist_import,,GBQRF0846342,true,,,1988,ok,alternative_earlier_than_current_mb,,,useful_alternative_mb_year,1988,recording_first_release_date,-37,-22,5b9a1012-be37-43ad-95ba-d64767cbb599,Gimme Hope Jo’Anna,85cac704-3617-4dec-99fd-99e3a864dce7,Gimme Hope Jo’anna,listenbrainz_musicbrainz,manual_batch_listenbrainz_musicbrainz_confirmed
Jailhouse Rock,Elvis Presley,,,,,1958,1958,Elvis' Golden Records,compilation,1958-03-21,149232,Elvis Presley,5,1,1957,mb_ok,isrc,1.00,,,skipped_off,,,,,1957,manual_confirmed_mb,review_reason: mb_year_suspicious_late; risk_flags: catalog_context+compilation_context+mb_year_suspicious_late; recommendation: run_targeted_discogs_lookup; discogs_lookup: mb_year_suspicious_late; Manual batch accept: MB year accepted despite LB->MB context warning.,,4gphxUgq0JSFv2BCLhNDiE,Jailhouse Rock,Elvis Presley,playlist_import,,USRC15705223,true,,,1957,ok,confirms_current_mb_and_spotify,compilation_context+noisy_release_context,,likely_accept_existing_mb_with_context_warning,1957,recording_first_release_date,0,-1,d73742ce-fffa-40a0-84e6-8abd263c8115,Jailhouse Rock,16dbe2f4-9982-334a-80c2-bb0384875a65,Elvis’ Golden Records,musicbrainz,manual_batch_lb_context_warning_confirmed
"Rigoletto: ""La Donna E' Mobile""",Enrico Caruso,,,,,2011,2011,"The Gramophone Classics, Vol. 1",compilation,2011-10-24,149333,Enrico Caruso,2,1,1903,mb_match_uncertain,text,0.96,,,skipped_off,,1963,,,1908,manual_entered_year,review_reason: mb_uncertain; risk_flags: mb_uncertain+mb_text_match_only+catalog_context+compilation_context; recommendation: run_targeted_discogs_lookup; discogs_lookup: mb_uncertain+mb_text_match_only; manual: entered 1908,,7idTMG6EKZy0531lIx8RJ5,"Rigoletto: ""La Donna E' Mobile""",Enrico Caruso,playlist_import,,ITA731100419,true,,,1908,ok,alternative_later_than_current_mb,,,manual_conflicting_years,2001,recording_first_release_date,98,-10,24a4eb04-6425-49c1-a0ae-158134c8e0aa,"Rigoletto: ""La donna e mobile""",b0a29e00-8a9e-4070-916d-29426750bdab,Les Introuvables du Chant Verdien,manual,manual_entered_year
Do You Know? (The Ping Pong Song),Enrique Iglesias,,,,,2007,2007,Insomniac (Deluxe Edition),album,2007,218053,Enrique Iglesias,3,1,2007,mb_ok,isrc,0.97,,,skipped_off,,,,,2007,manual_confirmed_mb,review_reason: mb_year_suspicious_late; risk_flags: catalog_context+remaster_or_deluxe_context+mb_year_suspicious_late; recommendation: run_targeted_discogs_lookup; discogs_lookup: mb_year_suspicious_late; Manual batch accept: MB year accepted despite LB->MB context warning.,,4MloswMM3eu7dHZ7MOzW3i,Do You Know? (The Ping Pong Song),Enrique Iglesias,playlist_import,,USUM70731257,true,,,2007,ok,confirms_current_mb_and_spotify,deluxe_context+various_artists_context+compilation_context+noisy_release_context,,likely_accept_existing_mb_with_context_warning,2007,recording_first_release_date,0,0,2f64b3fd-b410-4d84-855b-fc94864453ba,Do You Know? (The Ping Pong Song),a6163643-4af2-4a6d-aedb-7dcef5db8ec6,Hitclub 2007.3,musicbrainz,manual_batch_lb_context_warning_confirmed
"Hungry Eyes - From ""Dirty Dancing"" Soundtrack",Eric Carmen,,,,,1987,1987,Dirty Dancing (Original Motion Picture Soundtrack),compilation,1987-09-24,248426,Various Artists,4,1,1987,mb_ok,isrc,0.96,,,skipped_off,,,,,1987,manual_confirmed_mb,review_reason: mb_year_suspicious_late; risk_flags: catalog_context+compilation_context+mb_year_suspicious_late; recommendation: run_targeted_discogs_lookup; discogs_lookup: mb_year_suspicious_late; manual: confirmed MusicBrainz year 1987,,7eafuv44YprITfOdzfVLoU,"Hungry Eyes - From ""Dirty Dancing"" Soundtrack",Eric Carmen,playlist_import,,USBMG0100041,true,,,1987,ok,alternative_later_than_current_mb,soundtrack_context+best_of_context+various_artists_context+compilation_context+noisy_release_context,,manual_conflicting_years,2005,recording_first_release_date,18,18,848ecccf-4fc4-4478-b70a-8e31286bfd84,Hungry Eyes (from “Dirty Dancing” soundtrack),dbc2ed87-7098-4fc4-8c7f-d775ba95705c,The Hits Album: The 80s Love Album,musicbrainz,manual_confirmed_mb
Everywhere - 2017 Remaster,Fleetwood Mac,,,,,1987,1987,Tango in the Night (2017 Remaster),album,1987-04-14,226653,Fleetwood Mac,3,1,1987,mb_ok,isrc,0.92,,,skipped_off,,,,,1987,manual_confirmed_mb,review_reason: mb_year_suspicious_late; risk_flags: catalog_context+remaster_or_deluxe_context+mb_year_suspicious_late; recommendation: run_targeted_discogs_lookup; discogs_lookup: mb_year_suspicious_late; manual: confirmed MusicBrainz year 1987,,4k5FeWIdUaBx5OZdvrSYP1,Everywhere - 2017 Remaster,Fleetwood Mac,playlist_import,,USRH11602189,true,,,1987,ok,confirms_current_mb_and_spotify,,remastered,manual_version_risk,1987,recording_first_release_date,0,0,e6067663-ec19-4909-a8a9-8ef8b137c664,Everywhere,ad3f2bf7-90d0-375f-aae1-9e49c1a7d93f,Tango in the Night,musicbrainz,manual_confirmed_mb
Heimweh (Dort wo die Blumen blüh'n),Freddy Quinn,,,,,1987,1987,"Freddy, die Gitarre und das Meer",compilation,1987-01-01,210840,Freddy Quinn,1,1,1956,mb_ok,text,1.00,,,skipped_off,,,,,1956,manual_confirmed_mb,review_reason: mb_text_match_only; risk_flags: mb_text_match_only+catalog_context+compilation_context; recommendation: run_targeted_discogs_lookup; discogs_lookup: mb_text_match_only; manual: confirmed MusicBrainz year 1956,,5RX1E2J3qyF5MDSxPAxNtK,Heimweh (Dort wo die Blumen blüh'n),Freddy Quinn,playlist_import,,DEF065600010,true,,,1956,ok,alternative_later_than_current_mb,,,manual_conflicting_years,1990,recording_first_release_date,34,3,63b3f49e-69dc-4fb3-921c-fa1fad5ad9ac,Heimweh,be33422a-4fe1-4811-96ab-e1c0d72e8d21,Heimatlos sind viele auf der Welt,musicbrainz,manual_confirmed_mb
Killing Me Softly With His Song,"Fugees, Ms. Lauryn Hill",,,,,1996,1996,The Score (Expanded Edition),album,1996-02-13,298666,"Fugees, Ms. Lauryn Hill, Wyclef Jean",8,1,1996,mb_ok,isrc,0.90,,,skipped_off,,,,,1996,manual_confirmed_mb,review_reason: mb_year_suspicious_late; risk_flags: catalog_context+remaster_or_deluxe_context+mb_year_suspicious_late; recommendation: run_targeted_discogs_lookup; discogs_lookup: mb_year_suspicious_late; manual: confirmed MusicBrainz year 1996,,0Q0IVlqMV64kNLlwjPj0Hl,Killing Me Softly With His Song,"Fugees, Ms. Lauryn Hill",playlist_import,,USSM19600055,true,,,1996,ok,alternative_later_than_current_mb,deluxe_context+best_of_context+compilation_context+various_artists_context+noisy_release_context,,manual_conflicting_years,2022,recording_first_release_date,26,26,032c7d4f-5eae-451a-b6c4-70da39b01c54,Killing Me Softly With His Song,632a8e62-c89b-451e-b76a-ce41b7300bab,NOW #1s: 70 Years of the Official Singles Chart,musicbrainz,manual_confirmed_mb
In the Mood - 2006 Remastered Version,Glenn Miller,,,,,1939,1939,In the Mood,album,1939-09-01,214093,Glenn Miller,2,1,,mb_no_match,,,,,skipped_off,,,,,1939,manual_entered_year,review_reason: mb_no_match; risk_flags: mb_no_match; recommendation: run_targeted_discogs_lookup; discogs_lookup: mb_no_match; manual: entered 1939,,0wAyDBh0ujohCsYeXBtDLF,In the Mood - 2006 Remastered Version,Glenn Miller,playlist_import,,FR14F3900390,true,,,1939,no_match,no_year,,,unusable,,,,,,,,,manual,manual_entered_year
