title,artist,estimated_year
My Plague,Slipknot,2001
Duality,Slipknot,2004
Headstrong,Trapt,2002
Hemorrhage (In My Hands),Fuel,2000
Shimmer,Fuel,1998
It's Been Awhile,Staind,2001
Outside,Staind,2001
So Far Away,Staind,2003
Drowning Pool,Bodies,2001
Let the Bodies Hit the Floor,Drowning Pool,2001
One,Metallica,1988
Enter Sandman,Metallica,1991
Nothing Else Matters,Metallica,1991
Sad But True,Metallica,1991
Run to the Hills,Iron Maiden,1982
The Number of the Beast,Iron Maiden,1982
Fear of the Dark,Iron Maiden,1992
Holy Diver,Dio,1983
Crazy Train,Ozzy Osbourne,1980
Mr. Crowley,Ozzy Osbourne,1980
Bark at the Moon,Ozzy Osbourne,1983
Free Bird,Lynyrd Skynyrd,1973
Sweet Home Alabama,Lynyrd Skynyrd,1974
Simple Man,Lynyrd Skynyrd,1973
Comfortably Numb,Pink Floyd,1979
Another Brick in the Wall,Pink Floyd,1979
Wish You Were Here,Pink Floyd,1975
Money,Pink Floyd,1973
Layla,Derek and the Dominos,1970
Bell Bottom Blues,Derek and the Dominos,1970
Cocaine,Eric Clapton,1977
Sunshine of Your Love,Cream,1967
White Room,Cream,1968
Purple Haze,Jimi Hendrix,1967
Voodoo Child,Jimi Hendrix,1968
All Along the Watchtower,Jimi Hendrix,1968
Foxey Lady,Jimi Hendrix,1967
Born to Be Wild,Steppenwolf,1968
Magic Carpet Ride,Steppenwolf,1968
Bohemian Rhapsody,Queen,1975
We Will Rock You,Queen,1977
Another One Bites the Dust,Queen,1980
Fat Bottomed Girls,Queen,1978
Baba O'Riley,The Who,1971
My Generation,The Who,1965
Won't Get Fooled Again,The Who,1971
Pinball Wizard,The Who,1969
Paint It Black,The Rolling Stones,1966
Sympathy for the Devil,The Rolling Stones,1968
Gimme Shelter,The Rolling Stones,1969
Jumpin' Jack Flash,The Rolling Stones,1968
Back in Black,AC/DC,1980
Highway to Hell,AC/DC,1979
Thunderstruck,AC/DC,1990
You Shook Me All Night Long,AC/DC,1980
Carry On Wayward Son,Kansas,1976
Dust in the Wind,Kansas,1977
More Than a Feeling,Boston,1976
Don't Fear the Reaper,Blue Oyster Cult,1976
Godzilla,Blue Oyster Cult,1977
Roundabout,Yes,1971
Aqualung,Jethro Tull,1971
Locomotive Breath,Jethro Tull,1971
Long Cool Woman,The Hollies,1972
Rock and Roll All Nite,KISS,1975
Detroit Rock City,KISS,1976
Strutter,KISS,1974
Frankenstein,Edgar Winter Group,1972
Radar Love,Golden Earring,1973
La Grange,ZZ Top,1973
Tush,ZZ Top,1975
Sharp Dressed Man,ZZ Top,1983
Owner of a Lonely Heart,Yes,1983
Funk #49,The James Gang,1970
Walk This Way,Aerosmith,1975
Sweet Emotion,Aerosmith,1975
Dream On,Aerosmith,1973
Train Kept A-Rollin,Aerosmith,1974
Renegade,Styx,1978
Come Sail Away,Styx,1977
Hold the Line,Toto,1978
Magic Man,Heart,1976
Barracuda,Heart,1977
Crazy on You,Heart,1976
Slow Ride,Foghat,1975
Eye of the Tiger,Survivor,1982
Vehicle,The Ides of March,1970
25 or 6 to 4,Chicago,1970
Spinning Wheel,Blood Sweat & Tears,1968
Rock You Like a Hurricane,Scorpions,1984
No One Like You,Scorpions,1982
Still Loving You,Scorpions,1984
Heat of the Moment,Asia,1982
The Final Countdown,Europe,1986
Tom Sawyer,Rush,1981
Limelight,Rush,1981
YYZ,Rush,1981
Spirit of Radio,Rush,1980
Living After Midnight,Judas Priest,1980
Breaking the Law,Judas Priest,1980
You've Got Another Thing Comin',Judas Priest,1982
Painkiller,Judas Priest,1990
Holy Wars,Megadeth,1990
Symphony of Destruction,Megadeth,1992
Peace Sells,Megadeth,1986
Raining Blood,Slayer,1986
Angel of Death,Slayer,1986
South of Heaven,Slayer,1988
Bodies,Drowning Pool,2001
Get Up Come on Get Down,Sevendust,2001
Black,Sevendust,1997
Driven Under,Seether,2002
Fine Again,Seether,2002
Remedy,Seether,2003
Animal I Have Become,Three Days Grace,2006
I Hate Everything About You,Three Days Grace,2003
Living in a Lie,Lonestar,1998
Push,Static-X,1999
Black and White,Static-X,1999
This Is the New Shit,Marilyn Manson,2003
The Beautiful People,Marilyn Manson,1996
Sweet Dreams,Marilyn Manson,1995
Bring the Noise,Anthrax,1991
Indians,Anthrax,1987
Caught in a Mosh,Anthrax,1987
